,video_id,channelTitle,title,description,tags,publishedAt,duration,definition,caption
1966,HhCLAp9vZ3Y,QueQuality,Quebonafide – All Black (prod. Young Veteran$) / HIP-HOP 2.0,864,"['quebonafide', 'quebo', 'all black', 'all', 'black', 'ol blek', 'ol black', 'quequality', 'hip-hop 2.0', 'hip hop dwa zero', 'straciłem tylu ludzi', 'chodzę all black']",2016-06-17T18:09:14Z,PT3M2S,hd,false
1967,9fHZ933rn2Q,QueQuality,"Quebonafide ft. Solar, Ania Iwanek - Święty spokój (SoDrumatic Remix) / HIP-HOP 2.0",945,"['quebonafide', 'quebo', 'solar', 'sb maffija', 'swiety spokoj', 'święty', 'spokój', 'sodrumatic', 'remix', 'ania iwanek', 'zamilska', 'czwórka', 'hip hop 2.0', 'hip hop dwa zero', 'białas']",2016-06-16T14:04:05Z,PT4M11S,hd,false
1968,lRzZwMHEBrc,QueQuality,Szesnasty ft. Fiłoń - Szczypta (prod. Morte) / HIP-HOP 2.0,902,"['szesnasty', '16', 'szczypta', 'fiłoń', 'morte', 'lalala', 'quequality', 'quebonafide', 'hip hop 2.0', 'hip hop dwa zero', 'pan tu nie stał']",2016-06-15T12:59:39Z,PT3M49S,hd,false
1969,NOjphcJ-Poc,QueQuality,Igrekzet - O2 (prod. NoTime) / HIP-HOP 2.0,877,"['O2', 'Igrekzet', 'NoTime', 'HH20', 'Hip-Hop 2.0', 'Foux', 'Que', 'Quequality', 'hip hop dwa zero', 'tlen', 'quebonafide']",2016-06-14T17:30:38Z,PT4M2S,hd,false
1970,f3iUsg8S38s,QueQuality,Filipek - Persona Non Grata (prod. Teken) / HIP-HOP 2.0,880,"['filipek', 'persona non grata', 'quequality', 'filip', 'persona', 'grata', 'hi hop dwa zero', 'hip hop', 'quebo', 'składanka', 'asceta']",2016-06-13T16:23:59Z,PT3M18S,hd,false
1971,FIkjMQNkGxo,QueQuality,Quebonafide ft. Wac Toja - Asceta (prod. Young Veteran$) / HIP-HOP 2.0,1265,"['quebonafide', 'quebo', 'wac toja', 'asceta', 'wac', 'toja', 'quequality', 'hip-hop 2.0', 'pokusa', 'wąż', 'demony', 'all black', 'wieczne katusze', 'czekają mnie']",2016-06-11T09:01:19Z,PT4M28S,hd,false
1972,P0gQNFX9Tek,QueQuality,Fiłoń - Horkruks (mash-up),261,"['Fiłoń', 'filon', 'Horkruks', 'QueQuality', 'Myślodsiewnia', 'Mixtape', 'RBLS', 'Rebels', 'moher', 'moher.', 'mash-up', 'Maliny']",2016-06-10T14:06:08Z,PT3M27S,hd,false
1973,H3_NtO_sGaY,QueQuality,Slim Szczegi - Homerun (intro),2714,"['Slim', 'Szczegi', 'SlimSzczegi', 'Homerun', 'Inner', 'Game', 'Intro', '2016', 'rap', 'teledysk', '59-700', '59700', 'Bolesławiec', 'Wrocław', 'quequality', 'Szymon', 'Walera', 'klip', 'Szczegut']",2016-06-09T18:14:25Z,PT5M3S,hd,false
1974,hdLAfiEirFI,QueQuality,Szesnasty - Ten dzień (prod. Gess),1480,"['szesnasty', 'szesnascie', 'ten dzień', 'ten', 'dzien', '16', 'pan tu nie stał', 'odsłuch', 'quequality', 'pan', 'tu', 'nie', 'stal']",2016-06-07T13:37:03Z,PT4M28S,hd,false
1975,Us2AQHppRzE,QueQuality,"Szesnasty - Za linią wroga (prod. TRK, cuty Dj Flip)",1414,"['szesnasty', 'szesnascie', '16', 'za linią wroga', 'linia', 'wroga', 'trk', 'dj flip', 'pan tu nie stał', 'odsłuch', 'quequality']",2016-06-07T13:36:51Z,PT4M,hd,false
